Douglas,35
Oakland,36
Fuller Park,37
Grand Boulevard,38
Kenwood,39
Lincoln Square,4
Washington Park,40
Hyde Park,41
Albany Park,14
Portage Park,15
Irving Park,16
Montclare,18
Belmont Cragin,19
West Ridge,2
Hermosa,20
Avondale,21
Logan Square,22
Humboldt Park,23
West Town,24
West Garfield Park,26
East Garfield Park,27
Near West Side,28
North Lawndale,29
South Lawndale,30
Lower West Side,31
Armour Square,34
Loop,32
Chatham,44
Avalon Park,45
Burnside,47
Mckinley Park,59
Calumet Heights,48
Roseland,49
North Center,5
Pullman,50
South Deering,51
Riverdale,54
Hegewisch,55
Archer Heights,57
Brighton Park,58
Bridgeport,60
New City,61
West Elsdon,62
Gage Park,63
Clearing,64
West Lawn,65
Chicago Lawn,66
West Englewood,67
Englewood,68
Greater Grand Crossing,69
Ashburn,70
Auburn Gresham,71
Beverly,72
Washington Heights,73
Mount Greenwood,74
Morgan Park,75
Edgewater,77
Edison Park,9
